t,alpha,H_pump,Q_pump,H_valve,Q_valve
0,0,50,0,50,0
0.0666667,0.0333333,50,0,50,0
0.133333,0.0666667,50,0,50,0
0.2,0.1,50,0,50,0
0.266667,0.133333,50,0,50,0
0.333333,0.166667,50,0,50,0
0.4,0.2,50,0,50,0
0.466667,0.233333,50,0,50,0
0.533333,0.266667,50,0,50,0
0.6,0.3,50,0,50,0
0.666667,0.333333,50,0,50,0
0.733333,0.366667,50,0,50,0
0.8,0.4,50,0,50,0
0.866667,0.433333,50,0,50,0
0.933333,0.466667,50,0,50,0
1,0.5,50,0,50,0
1.06667,0.533333,50,0,50,0
1.13333,0.566667,50,0,50,0
1.2,0.6,50,0,50,0
1.26667,0.633333,50,0,50,0
1.33333,0.666667,50,0,50,0
1.4,0.7,50,0,50,0
1.46667,0.733333,50,0,50,0
1.53333,0.766667,50,0,50,0
1.6,0.8,50,0,50,0
1.66667,0.833333,50,0,50,0
1.73333,0.866667,52.5756,0.00103316,50,0
1.8,0.9,56.6856,0.00268171,50,0
1.86667,0.933333,60.9393,0.00438767,50,0
1.93333,0.966667,65.3355,0.00615043,50,0
2,1,69.873,0.00796935,50,0
2.06667,1,69.873,0.00796782,50,0
2.13333,1,69.8731,0.00796629,50,0
2.2,1,69.8731,0.00796476,50,0
2.26667,1,69.8732,0.00796323,50,0
2.33333,1,69.8732,0.0079617,50,0
2.4,1,69.8733,0.00796024,50,0
2.46667,1,69.8733,0.00795899,50,0
2.53333,1,69.8733,0.00795812,50,0
2.6,1,69.8733,0.00795777,50,0
2.66667,1,69.8733,0.00795777,50,0
2.73333,1,69.8733,0.00795777,50,0
2.8,1,69.8733,0.00795778,50,0
2.86667,1,69.8733,0.00795778,50,0
2.93333,1,69.8733,0.00795778,50,0
3,1,69.8733,0.00795778,50,0
3.06667,1,69.8733,0.00795778,50,0
3.13333,1,69.8733,0.00795778,50,0
3.2,1,69.8733,0.00795778,50,0
3.26667,1,69.8733,0.00795778,50,0
3.33333,1,69.8733,0.00795778,50,0
3.4,1,69.8733,0.00795778,50,0
3.46667,1,69.8733,0.00795778,50,0
3.53333,1,69.8733,0.00795778,50,0
3.6,1,69.8733,0.00795778,50,0
3.66667,1,69.8733,0.00795778,50,0
3.73333,1,69.8733,0.00795778,50,0
3.8,1,69.8733,0.00795778,50,0
3.86667,1,69.8733,0.00795778,50,0
3.93333,1,69.8733,0.00795778,50,0
4,1,69.8733,0.00795778,50,0
4.06667,1,69.8733,0.00795778,50,0.0159125
4.13333,1,69.8733,0.00795778,50,0.0159078
4.2,1,69.8733,0.00795778,50,0.0159032
4.26667,1,69.8733,0.00795778,50,0.0158986
4.33333,1,69.8733,0.00795778,50,0.0158939
4.4,1,68.9021,0.0234298,50,0.0158893
4.46667,1,68.9032,0.0234184,50,0.0158847
4.53333,1,68.9042,0.023407,50,0.0158801
4.6,1,68.9053,0.0233957,50,0.0158755
4.66667,1,68.9063,0.0233843,50,0.0158709
4.73333,1,68.9074,0.023373,50,0.0308738
4.8,1,68.9085,0.0233616,50,0.030853
4.86667,1,68.9095,0.0233503,50,0.0308323
4.93333,1,68.9106,0.0233391,50,0.0308116
5,1,68.9116,0.0233278,50,0.0307909
5.06667,1,67.1831,0.0375291,50,0.0307703
5.13333,1,67.1876,0.0374991,50,0.0307498
5.2,1,67.1921,0.0374693,50,0.0307293
5.26667,1,67.1966,0.0374395,50,0.0307088
5.33333,1,67.201,0.0374098,50,0.0306884
5.4,1,67.2054,0.0373802,50,0.0440727
5.46667,1,67.2099,0.0373506,50,0.0440318
5.53333,1,67.2143,0.0373211,50,0.043991
5.6,1,67.2187,0.0372917,50,0.0439504
5.66667,1,67.223,0.0372624,50,0.0439098
5.73333,1,65.0718,0.0496396,50,0.0438694
5.8,1,65.0816,0.0495903,50,0.0438291
5.86667,1,65.0913,0.0495412,50,0.043789
5.93333,1,65.101,0.0494923,50,0.0437489
6,1,65.1107,0.0494435,50,0.043709
6.06667,1,65.1203,0.0493948,50,0.0550792
6.13333,1,65.1299,0.0493463,50,0.0550205
6.2,1,65.1394,0.049298,50,0.0549621
6.26667,1,65.1489,0.0492498,50,0.0549038
6.33333,1,65.1584,0.0492018,50,0.0548457
6.4,1,62.9157,0.059516,50,0.0547878
6.46667,1,62.931,0.0594518,50,0.0547302
6.53333,1,62.9462,0.0593879,50,0.0546727
6.6,1,62.9613,0.0593242,50,0.0546154
6.66667,1,62.9763,0.0592607,50,0.0545583
6.73333,1,62.9913,0.0591974,50,0.0638292
6.8,1,63.0063,0.0591343,50,0.0637591
6.86667,1,63.0211,0.0590715,50,0.0636891
6.93333,1,63.0359,0.0590089,50,0.0636195
7,1,63.0506,0.0589465,50,0.0635501
7.06667,1,60.9604,0.0672294,50,0.0634809
7.13333,1,60.9798,0.0671572,50,0.063412
7.2,1,60.9991,0.0670853,50,0.0633433
7.26667,1,61.0183,0.0670136,50,0.0632748
7.33333,1,61.0375,0.0669422,50,0.0632067
7.4,1,61.0565,0.0668711,50,0.0705215
7.46667,1,61.0755,0.0668001,50,0.0704471
7.53333,1,61.0944,0.0667295,50,0.070373
7.6,1,61.1131,0.0666591,50,0.0702991
7.66667,1,61.1318,0.0665889,50,0.0702254
7.73333,1,59.3278,0.0730488,50,0.0701521
7.8,1,59.3492,0.0729754,50,0.0700789
7.86667,1,59.3705,0.0729022,50,0.0700061
7.93333,1,59.3918,0.0728293,50,0.0699335
8,1,59.4129,0.0727566,50,0.0698611
